date,product,category,branch,units_sold,unit_price
2026-06-14,Highlighter Set,Stationery,DHA Campus,6,219.99
2026-06-17,Notebook A4,Stationery,DHA Campus,2,149.29
2026-06-04,Cold Coffee,Beverages,Gulberg Campus,7,127.98
2026-06-29,Energy Drink,Beverages,Gulberg Campus,11,154.17
2026-06-13,Samosa,Snacks,Model Town Campus,9,39.95
2026-06-26,Notebook A4,Stationery,DHA Campus,2,150.47
2026-06-09,Samosa,Snacks,Gulberg Campus,2,
2026-06-03,cold coffee ,Beverages,Gulberg Campus,3,121.37
2026-06-11,Energy Drink,Beverages,DHA Campus,5,149.29
2026-06-29,Chicken Patty,Snacks,Model Town Campus,9,58.92
2026-06-15,Samosa,Snacks,DHA Campus,6,42.31
2026-06-01,Chicken Patty,Snacks,Gulberg Campus,11,63.08
2026-06-18,Potato Chips,Snacks,Model Town Campus,11,53.49
2026-06-14,Potato Chips,Snacks,Model Town Campus,8,50.06
2026-06-14,Earphones Basic,Electronics,DHA Campus,1,361.05
2026-06-11,Chicken Patty,Snacks,DHA Campus,4,59.9
2026-06-24,Earphones Basic,Electronics,DHA Campus,5,377.31
2026-06-30,Mineral Water 500ml,Beverages,Model Town Campus,2,45.61
2026-06-19,Potato Chips,Snacks,Gulberg Campus,1,47.55
2026-06-05,GEL PEN PACK,Stationery,Model Town Campus,3,79.63
2026-06-30,Potato Chips,Snacks,Model Town Campus,10,51.32
2026-06-19,Energy Drink,Beverages,DHA Campus,3,150.24
2026-06-03,Chicken Patty,Snacks,Model Town Campus,10,57.9
2026-06-19,Notebook A4,Stationery,Model Town Campus,6,153.94
2026-06-23,Highlighter Set,Stationery,Model Town Campus,11,236.43
2026-06-01,Earphones Basic,Electronics,Gulberg Campus,4,
2026-06-06,Mineral Water 500ml,Beverages,Model Town Campus,2,45.59
2026-06-22,Earphones Basic,Electronics,Model Town Campus,5,367.93
2026-06-03,Samosa,Snacks,Gulberg Campus,7,39.62
2026-06-09,Potato Chips,Snacks,DHA Campus,5,49.27
2026-06-28,Highlighter Set,Stationery,Gulberg Campus,2,216.79
2026-06-07,Samosa,Snacks,Gulberg Campus,9,38.91
2026-06-15,Mineral Water 500ml,Beverages,Gulberg Campus,1,47.65
2026-06-05,Highlighter Set,Stationery,DHA Campus,1,
2026-06-28,Cold Coffee,Beverages,Gulberg Campus,1,120.32
2026-06-21,USB Flash Drive 32GB,Electronics,DHA Campus,6,894.38
2026-06-29,Potato Chips,Snacks,Model Town Campus,5,48.1
2026-06-22,Chicken Patty,Snacks,DHA Campus,1,62.83
2026-06-04,Notebook A4,Stationery,DHA Campus,11,148.82
2026-06-18,Cold Coffee,Beverages,Gulberg Campus,11,114.61
2026-06-17,Potato Chips,Snacks,DHA Campus,6,50.43
2026-06-16,Mineral Water 500ml,Beverages,Gulberg Campus,4,44.09
2026-06-21,Energy Drink,Beverages,Model Town Campus,8,161.82
2026-06-12,GEL PEN PACK,Stationery,Gulberg Campus,7,76.95
2026-06-16,Potato Chips,Snacks,Gulberg Campus,9,48.34
2026-06-10,Mineral Water 500ml,Beverages,DHA Campus,5,45.52
2026-06-25,Earphones Basic,Electronics,Model Town Campus,8,346.67
2026-06-11,Earphones Basic,Electronics,Gulberg Campus,3,369.84
2026-06-22,Gel Pen Pack,Stationery,DHA Campus,4,84.26
2026-06-19,Chicken Patty,Snacks,Gulberg Campus,10,61.74
2026-06-26, Notebook A4,Stationery,Model Town Campus,4,146.05
2026-06-21,Cold Coffee,Beverages,Gulberg Campus,6,120.42
2026-06-07,Gel Pen Pack,Stationery,DHA Campus,7,83.5
2026-06-30,Highlighter Set,Stationery,DHA Campus,7,209.97
2026-06-13,Earphones Basic,Electronics,Gulberg Campus,6,364.58
2026-06-16,Mineral Water 500ml,Beverages,Model Town Campus,11,45.11
2026-06-30,USB Flash Drive 32GB,Electronics,Gulberg Campus,10,859.61
2026-06-19,Earphones Basic,Electronics,DHA Campus,3,349.73
2026-06-09,gel pen pack,Stationery,DHA Campus,10,84.56
2026-06-05,Notebook A4,Stationery,Model Town Campus,11,149.71
2026-06-25,Potato Chips,Snacks,Gulberg Campus,11,51.61
2026-06-12,Cold Coffee,Beverages,DHA Campus,4,122.95
2026-06-20,Notebook A4,Stationery,Gulberg Campus,11,159.38
2026-06-14,USB Flash Drive 32GB,Electronics,DHA Campus,3,
2026-06-18,Notebook A4,Stationery,Model Town Campus,10,146.87
2026-06-12,Cold Coffee,Beverages,Gulberg Campus,7,122.52
2026-06-05,Cold Coffee,Beverages,Gulberg Campus,7,121.76
2026-06-25,Highlighter Set,Stationery,Model Town Campus,1,217.86
2026-06-28,Cold Coffee,Beverages,Model Town Campus,9,118.28
2026-06-09,Highlighter Set,Stationery,Model Town Campus,10,209.15
2026-06-05,USB Flash Drive 32GB,Electronics,Gulberg Campus,8,910.03
2026-06-24,Gel Pen Pack,Stationery,Model Town Campus,9,83.74
2026-06-22,USB Flash Drive 32GB,Electronics,DHA Campus,1,917.41
2026-06-29,Gel Pen Pack,Stationery,Model Town Campus,11,86.01
2026-06-10,Mineral Water 500ml,Beverages,Model Town Campus,5,43.45
2026-06-25,Gel Pen Pack,Stationery,DHA Campus,7,80.44
2026-06-06,Energy Drink,Beverages,DHA Campus,5,160.06
2026-06-18,Chicken Patty,Snacks,Gulberg Campus,5,58.32
2026-06-23,Potato Chips,Snacks,Gulberg Campus,8,51.29
2026-06-03,Chicken Patty,Snacks,Gulberg Campus,5,
2026-06-18,Earphones Basic,Electronics,Model Town Campus,5,353.47
2026-06-01,Samosa,Snacks,Model Town Campus,4,38.74
2026-06-01,Gel Pen Pack,Stationery,Gulberg Campus,7,76.14
2026-06-12,Cold Coffee,Beverages,DHA Campus,11,115.83
2026-06-26,USB Flash Drive 32GB,Electronics,Gulberg Campus,10,886.68
2026-06-28,Mineral Water 500ml,Beverages,DHA Campus,11,46.24
2026-06-20,USB Flash Drive 32GB,Electronics,Gulberg Campus,7,861.04
2026-06-06, Notebook A4,Stationery,Gulberg Campus,8,159.09
2026-06-06,Notebook A4,Stationery,Gulberg Campus,11,146.18
2026-06-24,Samosa,Snacks,DHA Campus,8,42.54
2026-06-22,USB Flash Drive 32GB,Electronics,Model Town Campus,6,893.94
2026-06-26,Cold  Coffee,Beverages,Model Town Campus,7,129.27
2026-06-08,Mineral Water 500ml,Beverages,Gulberg Campus,5,46.1
2026-06-01,Notebook A4,Stationery,Model Town Campus,11,150.3
2026-06-12,Samosa,Snacks,DHA Campus,5,38.48
2026-06-11,Chicken Patty,Snacks,DHA Campus,4,59.9
2026-06-10,Samosa,Snacks,Gulberg Campus,4,38.24
2026-06-13,GEL PEN PACK,Stationery,Model Town Campus,8,77.22
2026-06-17,Highlighter Set,Stationery,Gulberg Campus,4,222.13
2026-06-15,Energy Drink,Beverages,Gulberg Campus,5,143.01
2026-06-02,Earphones Basic,Electronics,DHA Campus,4,359.7
2026-06-09,Highlighter Set,Stationery,Gulberg Campus,3,221.55
2026-06-26,Samosa,Snacks,Model Town Campus,2,42.51
2026-06-10,Mineral Water 500ml,Beverages,Model Town Campus,7,43.03
2026-06-06,Energy Drink,Beverages,DHA Campus,9,146.58
2026-06-11,Mineral Water 500ml,Beverages,DHA Campus,2,46.1
2026-06-26,Cold Coffee,Beverages,DHA Campus,1,122.68
2026-06-30,Samosa,Snacks,DHA Campus,2,40.19
2026-06-20,Highlighter Set,Stationery,Gulberg Campus,8,228.93
2026-06-24,Samosa,Snacks,DHA Campus,3,40.07
2026-06-22,Highlighter Set,Stationery,Gulberg Campus,1,215.64
2026-06-07,Potato Chips,Snacks,DHA Campus,1,47.78
2026-06-03,Energy Drink,Beverages,DHA Campus,1,156.37
2026-06-23,USB Flash Drive 32GB,Electronics,DHA Campus,3,936.19
2026-06-11,USB Flash Drive 32GB,Electronics,Model Town Campus,7,922.92
2026-06-25,Earphones Basic,Electronics,Model Town Campus,8,355.35
2026-06-24,cold coffee ,Beverages,Gulberg Campus,8,123.48
2026-06-14,Energy Drink,Beverages,Model Town Campus,5,161.86
2026-06-02,Highlighter Set,Stationery,Model Town Campus,9,217.47
2026-06-16,Mineral Water 500ml,Beverages,DHA Campus,5,46.49
2026-06-14,Notebook A4,Stationery,Gulberg Campus,1,147.96
2026-06-21,Cold Coffee,Beverages,DHA Campus,1,116.17
2026-06-06,Notebook A4,Stationery,Gulberg Campus,9,149.31
2026-06-29,Cold Coffee,Beverages,Gulberg Campus,3,118.25
2026-06-28,Potato Chips,Snacks,Model Town Campus,11,52.85
2026-06-03,Energy Drink,Beverages,Gulberg Campus,8,147.86
2026-06-11,Energy Drink,Beverages,Model Town Campus,2,155.82
2026-06-02,Earphones Basic,Electronics,Gulberg Campus,7,360.25
2026-06-21,Chicken Patty,Snacks,Model Town Campus,6,57.38
2026-06-05,Potato Chips,Snacks,Gulberg Campus,10,
2026-06-07,USB Flash Drive 32GB,Electronics,DHA Campus,3,921.92
2026-06-22,Earphones Basic,Electronics,Gulberg Campus,2,357.23
2026-06-15,Mineral Water 500ml,Beverages,DHA Campus,10,44.98
2026-06-07,Cold Coffee,Beverages,DHA Campus,11,119.74
2026-06-02,Samosa,Snacks,Gulberg Campus,2,40.81
2026-06-27,Gel Pen Pack,Stationery,Model Town Campus,7,84.32
2026-06-01,Potato Chips,Snacks,Gulberg Campus,2,50.01
2026-06-29,USB Flash Drive 32GB,Electronics,Gulberg Campus,4,873.96
2026-06-12,Samosa,Snacks,Model Town Campus,1,40.78
2026-06-26,Cold Coffee,Beverages,Gulberg Campus,2,122.34
2026-06-19,Samosa,Snacks,Model Town Campus,10,40.78
2026-06-12,Energy Drink,Beverages,DHA Campus,9,148.73
2026-06-05,Earphones Basic,Electronics,Model Town Campus,3,359.39
2026-06-09,Potato Chips,Snacks,Gulberg Campus,1,47.96
2026-06-30,USB Flash Drive 32GB,Electronics,Gulberg Campus,2,958.54
2026-06-17,Highlighter Set,Stationery,Gulberg Campus,1,236.16
2026-06-24,Earphones Basic,Electronics,DHA Campus,10,335.64
2026-06-28,USB Flash Drive 32GB,Electronics,Model Town Campus,10,916.51
2026-06-15,Chicken Patty,Snacks,DHA Campus,5,61.78
2026-06-19,Chicken Patty,Snacks,Model Town Campus,7,62.36
2026-06-20,Highlighter Set,Stationery,Gulberg Campus,8,212.2
2026-06-21,Gel Pen Pack,Stationery,DHA Campus,2,77.88
2026-06-13,Highlighter Set,Stationery,DHA Campus,1,215.39
2026-06-04,Samosa,Snacks,Gulberg Campus,8,42.9
2026-06-11,Highlighter Set,Stationery,DHA Campus,2,209.76
2026-06-26,Energy Drink,Beverages,Model Town Campus,6,157.42
2026-06-08,Gel Pen Pack,Stationery,Model Town Campus,1,79.3
2026-06-26,Highlighter Set,Stationery,DHA Campus,5,
2026-06-29,Potato Chips,Snacks,DHA Campus,11,51.38
2026-06-24,Cold Coffee,Beverages,Gulberg Campus,6,119.4
2026-06-11,Gel Pen Pack,Stationery,Model Town Campus,8,85.42
2026-06-16,Gel Pen Pack,Stationery,DHA Campus,2,79.65
2026-06-15,Gel Pen Pack,Stationery,DHA Campus,1,76.14
2026-06-10,Earphones Basic,Electronics,Gulberg Campus,10,375.69
2026-06-06,USB Flash Drive 32GB,Electronics,Model Town Campus,6,933.27
2026-06-10,Notebook A4,Stationery,Gulberg Campus,5,144.34
2026-06-09,Samosa,Snacks,Model Town Campus,3,39.76
2026-06-17,Mineral Water 500ml,Beverages,Model Town Campus,9,45.44
2026-06-03,Chicken Patty,Snacks,Model Town Campus,2,57.74
2026-06-24,Earphones Basic,Electronics,Gulberg Campus,4,374.3
2026-06-01,Energy Drink,Beverages,DHA Campus,3,142.9
2026-06-13,Chicken Patty,Snacks,Gulberg Campus,2,60.66
2026-06-05,Samosa,Snacks,Gulberg Campus,1,39.32
2026-06-27,Notebook A4,Stationery,Model Town Campus,3,160.99
2026-06-21,Samosa,Snacks,DHA Campus,10,43.15
2026-06-23,Earphones Basic,Electronics,DHA Campus,4,365.36
2026-06-04,Notebook A4,Stationery,Model Town Campus,9,148.44
2026-06-09,Chicken Patty,Snacks,Gulberg Campus,2,61.03
2026-06-29,Highlighter Set,Stationery,DHA Campus,1,223.17
2026-06-19,Cold Coffee,Beverages,Gulberg Campus,11,119.56
2026-06-18,Samosa,Snacks,Model Town Campus,8,40.52
2026-06-30,USB Flash Drive 32GB,Electronics,Model Town Campus,11,894.77
2026-06-28,Energy Drink,Beverages,DHA Campus,10,150.39
2026-06-21,Energy Drink,Beverages,Gulberg Campus,2,144.92
2026-06-10,cold coffee ,Beverages,DHA Campus,10,125.91
2026-06-19,Gel Pen Pack,Stationery,DHA Campus,11,78.63
2026-06-11,Cold Coffee,Beverages,Gulberg Campus,9,122.55
2026-06-30,Chicken Patty,Snacks,Gulberg Campus,4,63.59
2026-06-27,Notebook A4,Stationery,DHA Campus,7,156.85
2026-06-28,Highlighter Set,Stationery,Model Town Campus,2,213.76
2026-06-11,Notebook A4,Stationery,DHA Campus,11,158.12
2026-06-10,Potato Chips,Snacks,DHA Campus,6,52.14
